FAA Airport,Latitude,Longitude,ElevationInFeet,NOP Facility
SAV,32.1276,-81.2021,50.2,SAV
SAW,46.3536,-87.3954,1204.4,ZMP
SBA,34.4262,-119.8400,13.4,SBA
SBD,34.0954,-117.2349,1159.3,SCT
SBN,41.7087,-86.3173,798.3,SBN
SBP,35.2368,-120.6420,212.3,SBA
SBY,38.3405,-75.5103,52.6,NO MATCH
SCK,37.8942,-121.2380,33.2,NCT
SDF,38.1744,-85.7360,500.8,SDF
SDL,33.6229,-111.9110,1510.1,P50
SDM,32.5723,-116.9800,526.1,SCT
SEA,47.4490,-122.3090,432.3,S46
SEE,32.8262,-116.9720,387.5,SCT
SFB,28.7776,-81.2375,54.9,MCO
SFF,47.6828,-117.3230,1956.5,GEG
SFO,37.6190,-122.3750,13.1,NCT
SGF,37.2457,-93.3886,1268.3,SGF
SGJ,29.9592,-81.3398,9.8,JAX
SGR,29.6223,-95.6565,82.0,I90
SHV,32.4466,-93.8256,257.6,SHV
SIG,18.4568,-66.0981,9.8,NO MATCH
SJC,37.3626,-121.9290,62.2,NCT
SJT,31.3577,-100.4960,1918.6,MAF
SJU,18.4393,-66.0020,9.7,NO MATCH
SLC,40.7884,-111.9780,4230.9,S56
SLE,44.9095,-123.0030,213.4,ZSE
SLN,38.7910,-97.6522,1288.0,ZKC
SMF,38.6954,-121.5910,26.9,NCT
SMO,34.0158,-118.4510,169.9,SCT
SMX,34.8989,-120.4570,261.2,SBA
SNA,33.6757,-117.8680,56.1,SCT
SNS,36.6628,-121.6060,84.3,NCT
SPG,27.7651,-82.6270,6.7,TPA
SPI,39.8441,-89.6779,597.8,T75
SQL,37.5119,-122.2500,5.5,NCT
SRQ,27.3954,-82.5544,29.9,TPA
SSF,29.3370,-98.4711,577.2,SAT
STC,45.5466,-94.0599,1030.5,ZMP
STJ,39.7719,-94.9097,826.5,MCI
STL,38.7487,-90.3700,618.0,T75
STP,44.9345,-93.0600,705.4,M98
STS,38.5090,-122.8130,128.7,ZOA
STT,18.3373,-64.9734,23.6,NO MATCH
STX,17.7019,-64.7986,74.1,NO MATCH
SUA,27.1817,-80.2211,16.0,PBI
SUN,43.5044,-114.2960,5319.5,ZLC
SUS,38.6621,-90.6520,463.2,T75
SUX,42.4026,-96.3844,1098.4,SUX
SWF,41.5041,-74.1048,490.7,N90
SWO,36.1612,-97.0857,1000.1,ZKC
SYR,43.1112,-76.1063,421.4,SYR
TCL,33.2206,-87.6114,169.9,BHM
TEB,40.8501,-74.0608,8.4,N90
TIW,47.2679,-122.5780,294.8,S46
TIX,28.5148,-80.7992,33.8,MCO
TKI,33.1779,-96.5905,588.9,D10
TLH,30.3965,-84.3503,83.1,TLH
TMB,25.6476,-80.4332,10.0,MIA
TOA,33.8034,-118.3400,103.2,SCT
TOL,41.5868,-83.8078,683.3,TOL
TOP,39.0687,-95.6225,881.3,ZKC
TPA,27.9755,-82.5332,26.4,TPA
TRI,36.4752,-82.4074,1518.7,TRI
TTD,45.5494,-122.4010,38.9,P80
TTN,40.2767,-74.8135,212.6,PHL
TUL,36.1984,-95.8881,677.5,TUL
TUP,34.2681,-88.7699,345.8,ZME
TUS,32.1161,-110.9410,2643.1,U90
TVC,44.7414,-85.5822,623.7,ZMP
TWF,42.4818,-114.4880,4153.6,NO MATCH
TXK,33.4537,-93.9910,389.5,NO MATCH
TYR,32.3541,-95.4024,544.1,GGG
TYS,35.8110,-83.9940,979.2,TYS
TZR,39.9012,-83.1369,904.2,CMH
UES,43.0410,-88.2371,911.5,MKE
UGN,42.4222,-87.8679,727.2,C90
UNV,40.8493,-77.8487,1231.3,ZNY
VCT,28.8526,-96.9185,115.0,ZHU
VCV,34.5975,-117.3830,2885.1,NO MATCH
VGT,36.2107,-115.1940,2205.0,NO MATCH
VNY,34.2098,-118.4900,802.1,SCT
VQQ,30.2187,-81.8767,79.6,JAX
VRB,27.6556,-80.4179,23.6,PBI
WDG,36.3792,-97.7911,1167.2,NO MATCH
WHP,34.2593,-118.4130,1003.0,SCT
WJF,34.7411,-118.2190,2350.7,NO MATCH
XNA,36.2819,-94.3068,1288.2,FSM
YIP,42.2379,-83.5304,715.7,D21
YKM,46.5682,-120.5440,1098.8,GEG
YNG,41.2607,-80.6791,1191.6,YNG
